% var #0	var #1	obj #0	const #0	const #1	penalty
4.793604	4.986753	801.359464	0.000000	0.000000	0.000000
5.759002	4.405182	1035.987268	0.000000	0.000000	0.000000
5.617782	0.835944	458.230922	0.000000	0.000000	0.000000
2.282573	4.865478	360.163403	5.057279	0.000000	5.057279
4.791418	0.528123	159.619017	0.000000	0.000000	0.000000
4.817025	1.777114	196.415021	0.000000	0.000000	0.000000
2.849595	0.465509	21.302875	0.000000	0.000000	0.000000
3.809197	0.072238	22.980262	0.000000	0.000000	0.000000
4.949849	4.305903	589.027525	0.000000	0.000000	0.000000
1.161234	1.715014	71.383836	0.000000	0.000000	0.000000
0.883170	3.860789	117.683783	5.853977	0.000000	5.853977
2.121896	0.067698	65.094291	0.000000	0.000000	0.000000
3.072869	2.626720	9.979193	0.000000	0.000000	0.000000
4.342161	3.940081	304.653175	0.000000	0.000000	0.000000
3.358290	1.764130	4.451178	0.000000	0.000000	0.000000
5.729525	0.469983	498.277262	0.000000	0.000000	0.000000
5.599634	0.249095	426.356969	0.000000	0.000000	0.000000
5.619570	0.773476	456.564295	0.000000	0.000000	0.000000
2.638089	4.870601	375.531398	3.301378	0.000000	3.301378
4.192732	3.906090	264.946275	0.000000	0.000000	0.000000
1.351112	4.161140	161.233901	4.629471	0.000000	4.629471
4.221127	0.995920	64.249400	0.000000	0.000000	0.000000
5.665796	0.586835	471.352798	0.000000	0.000000	0.000000
2.257241	0.426022	50.822837	0.000000	0.000000	0.000000
0.148814	3.289072	74.852956	8.351998	0.000000	8.351998
4.780679	5.830480	1322.434473	8.042602	3.321921	11.364523
5.139618	2.762809	363.781708	0.000000	0.000000	0.000000
4.380464	0.383106	79.586450	0.000000	0.000000	0.000000
5.278856	3.082801	458.534904	0.000000	0.000000	0.000000
2.100362	4.388214	210.958426	1.664325	0.000000	1.664325
3.774253	2.947286	68.163962	0.000000	0.000000	0.000000
0.538007	3.403469	79.624275	5.492983	0.000000	5.492983
