% var #0	var #1	obj #0	const #0	const #1	penalty
4.539340	0.462421	106.413404	0.000000	0.000000	0.000000
5.412493	4.725935	960.403301	0.000000	0.000000	0.000000
3.824835	4.420803	332.727601	0.000000	0.000000	0.000000
3.372130	2.353087	11.066940	0.000000	0.000000	0.000000
0.753322	3.343725	74.593390	3.214770	0.000000	3.214770
3.445640	3.701034	123.803027	0.000000	0.000000	0.000000
4.917796	1.482463	215.139656	0.000000	0.000000	0.000000
5.264098	1.095545	317.350373	0.000000	0.000000	0.000000
2.108054	3.272854	44.647796	0.000000	0.000000	0.000000
1.226388	5.184889	464.194929	15.123220	0.739557	15.862777
1.238057	1.559017	73.637884	0.000000	0.000000	0.000000
5.870178	4.278934	1064.525883	0.000000	0.000000	0.000000
3.374101	2.440846	13.420353	0.000000	0.000000	0.000000
2.205496	4.294594	189.686128	0.252792	0.000000	0.252792
0.147309	4.217886	165.340156	15.339171	0.000000	15.339171
3.370592	1.348011	6.204677	0.000000	0.000000	0.000000
0.394344	0.083627	159.338564	0.000000	0.000000	0.000000
4.869523	1.497255	201.922565	0.000000	0.000000	0.000000
2.286756	5.090817	450.036853	7.278112	0.363268	7.641380
1.678352	5.104658	439.453884	11.090877	0.418631	11.509508
2.136344	4.954206	389.517878	6.744679	0.000000	6.744679
4.891850	1.508478	208.503404	0.000000	0.000000	0.000000
0.107237	2.497195	72.533623	4.175109	0.000000	4.175109
0.391822	0.312098	153.363280	0.000000	0.000000	0.000000
3.582495	4.930715	482.342686	0.321269	0.000000	0.321269
4.901573	3.152320	323.164218	0.000000	0.000000	0.000000
5.378302	2.228852	417.419679	0.000000	0.000000	0.000000
4.864977	4.610956	664.362024	0.000000	0.000000	0.000000
5.733546	2.637635	633.181864	0.000000	0.000000	0.000000
2.176264	5.477736	634.743881	11.979074	1.910944	13.890018
3.807065	4.332930	304.035157	0.000000	0.000000	0.000000
5.016183	5.290771	1054.852929	1.992519	1.163084	3.155603
4.966346	0.166972	195.335216	0.000000	0.000000	0.000000
1.867713	1.726425	38.098799	0.000000	0.000000	0.000000
2.238003	4.430349	223.434407	1.256617	0.000000	1.256617
3.779580	2.809104	58.955703	0.000000	0.000000	0.000000
0.761315	4.377597	203.562533	11.129805	0.000000	11.129805
1.310533	1.024812	89.711885	0.000000	0.000000	0.000000
0.652003	4.431739	214.423924	12.545385	0.000000	12.545385
4.816311	3.420955	334.531780	0.000000	0.000000	0.000000
4.920987	2.825105	292.156690	0.000000	0.000000	0.000000
1.998753	0.551354	63.713613	0.000000	0.000000	0.000000
4.326404	5.517158	946.083121	4.892768	2.068634	6.961401
3.148115	4.000316	156.111676	0.000000	0.000000	0.000000
1.330426	4.302840	189.266859	5.980202	0.000000	5.980202
5.944660	3.268618	854.888058	0.000000	0.000000	0.000000
0.939991	0.946794	110.744651	0.000000	0.000000	0.000000
2.260602	5.589293	702.382399	12.744497	2.357171	15.101668
5.724452	0.694644	505.260006	0.000000	0.000000	0.000000
2.071959	4.803426	332.859421	5.646324	0.000000	5.646324
5.711699	1.000762	511.939628	0.000000	0.000000	0.000000
3.325397	4.200519	213.291396	0.000000	0.000000	0.000000
3.559554	3.653665	126.530734	0.000000	0.000000	0.000000
5.075562	3.504485	440.906954	0.000000	0.000000	0.000000
5.119685	2.289567	317.577842	0.000000	0.000000	0.000000
3.714971	3.771694	162.898199	0.000000	0.000000	0.000000
2.314830	4.450027	229.960692	1.012881	0.000000	1.012881
5.975167	0.276907	624.875675	0.000000	0.000000	0.000000
0.752393	5.440579	570.262713	21.642064	1.762315	23.404378
0.562140	1.280362	111.454306	0.000000	0.000000	0.000000
4.857251	1.259284	192.192785	0.000000	0.000000	0.000000
3.372130	2.583507	18.012651	0.000000	0.000000	0.000000
4.816311	3.420955	334.531780	0.000000	0.000000	0.000000
0.028000	3.152320	70.365718	8.657908	0.000000	8.657908
5.435713	0.866138	377.531880	0.000000	0.000000	0.000000
1.984442	0.551354	64.587269	0.000000	0.000000	0.000000
5.989478	0.276907	633.432327	0.000000	0.000000	0.000000
5.264098	1.095545	317.350373	0.000000	0.000000	0.000000
3.559554	3.653665	126.530734	0.000000	0.000000	0.000000
0.391822	0.279491	154.302865	0.000000	0.000000	0.000000
4.920987	2.857711	295.425467	0.000000	0.000000	0.000000
3.590612	3.771554	149.050724	0.000000	0.000000	0.000000
3.706854	4.930854	500.701670	0.000000	0.000000	0.000000
3.596592	1.391611	13.221085	0.000000	0.000000	0.000000
5.718659	3.225018	704.572824	0.000000	0.000000	0.000000
1.310533	0.842424	96.033207	0.000000	0.000000	0.000000
5.733546	2.664552	636.146750	0.000000	0.000000	0.000000
1.849137	1.726425	38.982742	0.000000	0.000000	0.000000
3.166692	4.000316	157.260154	0.000000	0.000000	0.000000
2.068151	2.440846	19.387144	0.000000	0.000000	0.000000
3.414004	3.272854	66.205166	0.000000	0.000000	0.000000
0.361745	0.083627	160.300943	0.000000	0.000000	0.000000
1.270657	1.559017	72.134902	0.000000	0.000000	0.000000
2.492068	1.497255	15.974990	0.000000	0.000000	0.000000
3.529262	4.450027	301.611793	0.000000	0.000000	0.000000
3.920490	2.693825	67.349897	0.000000	0.000000	0.000000
4.724067	4.778527	681.707035	0.000000	0.000000	0.000000
3.807065	4.332930	304.035157	0.000000	0.000000	0.000000
4.891850	1.508478	208.503404	0.000000	0.000000	0.000000
5.016183	1.019356	231.368944	0.000000	0.000000	0.000000
4.857251	5.530699	1137.632213	4.609004	2.122794	6.731798
5.870178	3.543523	859.705850	0.000000	0.000000	0.000000
5.075562	4.239896	618.722216	0.000000	0.000000	0.000000
1.349339	1.558763	68.446650	0.000000	0.000000	0.000000
3.036833	4.000570	149.936507	0.000000	0.000000	0.000000
1.310533	1.176776	84.232925	0.000000	0.000000	0.000000
2.108054	3.120889	35.303859	0.000000	0.000000	0.000000
4.917796	1.482463	215.139656	0.000000	0.000000	0.000000
3.370592	1.348011	6.204677	0.000000	0.000000	0.000000
3.445640	3.701034	123.803027	0.000000	0.000000	0.000000
5.378302	2.228852	417.419679	0.000000	0.000000	0.000000
0.391822	0.312098	153.363280	0.000000	0.000000	0.000000
1.867713	1.726425	38.098799	0.000000	0.000000	0.000000
0.147309	4.217886	165.340156	15.339171	0.000000	15.339171
4.583043	1.497255	132.316125	0.000000	0.000000	0.000000
4.966346	0.162398	195.214766	0.000000	0.000000	0.000000
1.998753	0.555927	63.607054	0.000000	0.000000	0.000000
4.920987	2.634784	274.900456	0.000000	0.000000	0.000000
5.733546	2.827956	655.469112	0.000000	0.000000	0.000000
5.119685	2.289567	317.577842	0.000000	0.000000	0.000000
4.891850	1.508478	208.503404	0.000000	0.000000	0.000000
1.214442	4.302605	189.247534	6.842858	0.000000	6.842858
1.822544	4.430583	219.425841	3.726293	0.000000	3.726293
3.374101	1.205827	7.246393	0.000000	0.000000	0.000000
0.562140	2.618128	65.231929	0.549193	0.000000	0.549193
3.779580	2.809104	58.955703	0.000000	0.000000	0.000000
0.939991	0.946794	110.744651	0.000000	0.000000	0.000000
5.016183	5.290771	1054.852929	1.992519	1.163084	3.155603
5.412493	4.725935	960.403301	0.000000	0.000000	0.000000
3.807065	4.332930	304.035157	0.000000	0.000000	0.000000
3.372130	2.353087	11.066940	0.000000	0.000000	0.000000
0.391822	0.279491	154.302865	0.000000	0.000000	0.000000
5.075562	4.239896	618.722216	0.000000	0.000000	0.000000
3.297633	1.348011	5.048354	0.000000	0.000000	0.000000
4.656002	1.497255	148.255916	0.000000	0.000000	0.000000
0.383758	0.351297	152.436957	0.000000	0.000000	0.000000
1.857201	1.687225	39.653494	0.000000	0.000000	0.000000
1.974571	2.449881	22.587080	0.000000	0.000000	0.000000
3.346597	2.574472	16.543765	0.000000	0.000000	0.000000
2.116941	4.930854	380.056063	6.625356	0.000000	6.625356
3.574355	0.179664	15.339601	0.000000	0.000000	0.000000
1.822544	2.103891	31.638563	0.000000	0.000000	0.000000
1.270657	4.329705	195.002809	6.654350	0.000000	6.654350
3.414004	3.272854	66.205166	0.000000	0.000000	0.000000
1.998753	0.555927	63.607054	0.000000	0.000000	0.000000
1.867713	1.726425	38.098799	0.000000	0.000000	0.000000
4.917796	1.482463	215.139656	0.000000	0.000000	0.000000
5.016183	0.886374	227.891967	0.000000	0.000000	0.000000
5.435713	0.999121	382.370431	0.000000	0.000000	0.000000
4.891850	1.508478	208.503404	0.000000	0.000000	0.000000
2.108054	3.120889	35.303859	0.000000	0.000000	0.000000
3.445640	3.701034	123.803027	0.000000	0.000000	0.000000
3.036833	4.000570	149.936507	0.000000	0.000000	0.000000
3.807065	4.332930	304.035157	0.000000	0.000000	0.000000
3.374101	1.205827	7.246393	0.000000	0.000000	0.000000
3.779580	1.472169	23.741867	0.000000	0.000000	0.000000
0.784523	2.895698	60.789624	0.155310	0.000000	0.155310
2.506211	1.289845	19.767878	0.000000	0.000000	0.000000
3.582450	1.518051	12.474810	0.000000	0.000000	0.000000
3.341466	1.380049	5.464904	0.000000	0.000000	0.000000
4.922515	2.481516	263.537874	0.000000	0.000000	0.000000
2.329328	1.726425	17.662148	0.000000	0.000000	0.000000
4.459372	2.634784	152.101357	0.000000	0.000000	0.000000
5.733546	2.827956	655.469112	0.000000	0.000000	0.000000
1.984442	0.551354	64.587269	0.000000	0.000000	0.000000
3.835224	2.693825	57.739269	0.000000	0.000000	0.000000
4.583043	1.497255	132.316125	0.000000	0.000000	0.000000
3.166692	4.000316	157.260154	0.000000	0.000000	0.000000
1.310533	0.842424	96.033207	0.000000	0.000000	0.000000
3.807065	0.194469	23.557684	0.000000	0.000000	0.000000
0.391822	4.450558	215.129010	15.042770	0.000000	15.042770
3.374101	1.188607	7.372712	0.000000	0.000000	0.000000
3.596592	1.408830	13.196822	0.000000	0.000000	0.000000
2.068151	2.440846	19.387144	0.000000	0.000000	0.000000
5.378302	2.228852	417.419679	0.000000	0.000000	0.000000
3.779580	2.809104	58.955703	0.000000	0.000000	0.000000
1.998753	0.555927	63.607054	0.000000	0.000000	0.000000
2.492068	1.470345	16.521221	0.000000	0.000000	0.000000
3.372130	2.610416	19.043572	0.000000	0.000000	0.000000
0.348143	0.279491	155.559355	0.000000	0.000000	0.000000
1.314336	1.559017	70.093997	0.000000	0.000000	0.000000
